Percentage served,Time in ms
0,2.089
1,2.089
2,2.089
3,2.089
4,2.089
5,2.739
6,2.739
7,2.739
8,2.739
9,2.739
10,2.739
11,2.739
12,2.739
13,2.739
14,2.739
15,3.379
16,3.379
17,3.379
18,3.379
19,3.379
20,3.379
21,3.379
22,3.379
23,3.379
24,3.379
25,3.979
26,3.979
27,3.979
28,3.979
29,3.979
30,3.979
31,3.979
32,3.979
33,3.979
34,3.979
35,4.637
36,4.637
37,4.637
38,4.637
39,4.637
40,4.637
41,4.637
42,4.637
43,4.637
44,4.637
45,4.899
46,4.899
47,4.899
48,4.899
49,4.899
50,4.899
51,4.899
52,4.899
53,4.899
54,4.899
55,5.690
56,5.690
57,5.690
58,5.690
59,5.690
60,5.690
61,5.690
62,5.690
63,5.690
64,5.690
65,5.977
66,5.977
67,5.977
68,5.977
69,5.977
70,5.977
71,5.977
72,5.977
73,5.977
74,5.977
75,6.578
76,6.578
77,6.578
78,6.578
79,6.578
80,6.578
81,6.578
82,6.578
83,6.578
84,6.578
85,7.020
86,7.020
87,7.020
88,7.020
89,7.020
90,7.020
91,7.020
92,7.020
93,7.020
94,7.020
95,139711027937.537
96,139711027937.537
97,139711027937.537
98,139711027937.537
99,139711027937.537
